title,type,description,listed_in,cast,director,country,release_year,rating,popularity
Lee Cronin's The Mummy,Movie,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.","Horror, Mystery","Jack Reynor, Laia Costa, May Calamawy, Natalie Grace, Shylo Molina",Lee Cronin,Unknown,2026,8.075,583.1981
Obsession,Movie,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",Horror,"Michael Johnston, Inde Navarrette, Cooper Tomlinson, Megan Lawless, Andy Richter",Curry Barker,Unknown,2026,8.0,501.5672
Tom Clancy's Jack Ryan: Ghost War,Movie,"Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.","Action, Thriller","John Krasinski, Wendell Pierce, Sienna Miller, Michael Kelly, Max Beesley",Andrew Bernstein,Unknown,2026,7.142,368.4056
Kara,Movie,"A thief tries to go straight, but when predatory banks trap his father in debt, he returns to crime — with a determined cop closing in on his trail.","Crime, Drama, Thriller","Dhanush, Mamitha Baiju, K. S. Ravikumar, Suraj Venjaramoodu, Karunas",Vignesh Raja,Unknown,2026,6.5,328.9697
The Punisher: One Last Kill,Movie,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.","Action, Drama, Crime","Jon Bernthal, Deborah Ann Woll, Jason R. Moore, Judith Light, Kelli Barrett",Reinaldo Marcus Green,Unknown,2026,8.396,314.4766
Project Hail Mary,Movie,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.","Science Fiction, Adventure","Ryan Gosling, Sandra Hüller, James Ortiz, Lionel Boyce, Milana Vayntrub",Phil Lord,Unknown,2026,8.645,302.0827
The Super Mario Galaxy Movie,Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.","Family, Comedy, Adventure, Fantasy, Animation","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Donald Glover",Michael Jelenic,Unknown,2026,8.097,289.9814
Backrooms,Movie,A strange doorway appears in the basement of a furniture showroom.,"Horror, Mystery, Science Fiction","Chiwetel Ejiofor, Renate Reinsve, Mark Duplass, Finn Bennett, Lukita Maxwell",Kane Parsons,Unknown,2026,6.8,273.5711
Dhurandhar: The Revenge,Movie,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.","Action, Crime, Thriller","Ranveer Singh, Arjun Rampal, R. Madhavan, Sanjay Dutt, Sara Arjun",Aditya Dhar,Unknown,2026,7.257,268.0668
Swapped,Movie,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.","Adventure, Animation, Family, Fantasy","Michael B. Jordan, Juno Temple, Tracy Morgan, Cedric the Entertainer, Justina Machado",Nathan Greno,Unknown,2026,8.976,265.3704
